app_id,dependency_name,version,risk_status,risk_type,severity,explanation
APP-001,spring-boot-starter-web,2.7.5,Risky,Vulnerability,High,Version 2.7.5 is affected by CVE-2025-10177 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,spring-boot-starter-security,2.7.5,Risky,Vulnerability,High,Version 2.7.5 is affected by CVE-2025-10178 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,spring-boot-starter-data-jpa,2.7.5,Risky,Vulnerability,High,Version 2.7.5 is affected by CVE-2025-10179 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,spring-core,5.3.18,Risky,Vulnerability,Critical,Version 5.3.18 is affected by CVE-2022-22965 (CVSS severity: Critical). Upgrade to the latest version to remediate.
APP-001,spring-security-core,5.6.5,Risky,Vulnerability,Critical,Version 5.6.5 is affected by CVE-2022-31692 (CVSS severity: Critical). Upgrade to the latest version to remediate.
APP-001,log4j-core,2.14.1,Risky,Vulnerability,Critical,Version 2.14.1 is affected by CVE-2021-44228 (CVSS severity: Critical). Upgrade to the latest version to remediate.
APP-001,jackson-databind,2.13.3,Risky,Vulnerability,High,Version 2.13.3 is affected by CVE-2022-42003 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,tomcat-embed-core,9.0.74,Risky,Vulnerability,High,Version 9.0.74 is affected by CVE-2023-46589 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,commons-text,1.9.0,Risky,Transitive,Critical,Transitive dependency affected by CVE-2022-42889 (severity: Critical). Risk is inherited through the dependency chain.
APP-001,netty-all,4.1.68,Risky,Transitive,Medium,Transitive dependency affected by CVE-2021-43797 (severity: Medium). Risk is inherited through the dependency chain.
APP-001,snakeyaml,1.30.0,Risky,Vulnerability,Critical,Version 1.30.0 is affected by CVE-2022-1471 (CVSS severity: Critical). Upgrade to the latest version to remediate.
APP-001,hibernate-core,5.6.10,Risky,License,Medium,LGPL-2.1 requires sharing source code modifications in commercial applications.
APP-001,mysql-connector-java,8.0.30,Risky,License,Medium,GPL-2.0 is incompatible with proprietary commercial applications.
APP-001,flyway-core,9.1.6,Risky,Vulnerability,High,Version 9.1.6 is affected by CVE-2025-10180 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,spring-data-redis,2.7.5,Risky,Vulnerability,High,Version 2.7.5 is affected by CVE-2025-10181 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,lettuce-core,6.2.3,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10154 (severity: High). Risk is inherited through the dependency chain.
APP-001,jedis,3.9.0,Risky,Vulnerability,High,Version 3.9.0 is affected by CVE-2025-10182 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,jackson-core,2.13.3,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10155 (severity: High). Risk is inherited through the dependency chain.
APP-001,jackson-annotations,2.13.3,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10156 (severity: High). Risk is inherited through the dependency chain.
APP-001,spring-webmvc,5.3.22,Risky,Vulnerability,Critical,Version 5.3.22 is affected by CVE-2023-20860 (CVSS severity: Critical). Upgrade to the latest version to remediate.
APP-001,commons-lang3,3.12.0,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10157 (severity: High). Risk is inherited through the dependency chain.
APP-001,guava,31.1,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10158 (severity: High). Risk is inherited through the dependency chain.
APP-001,slf4j-api,1.7.36,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10159 (severity: High). Risk is inherited through the dependency chain.
APP-001,logback-classic,1.2.11,Risky,License,Medium,LGPL-2.1 copyleft requires modifications to be open-sourced.
APP-001,bcrypt,0.9.0,Risky,Vulnerability,High,Version 0.9.0 is affected by CVE-2025-10183 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,spring-boot-starter-actuator,2.7.5,Risky,Vulnerability,High,Version 2.7.5 is affected by CVE-2025-10184 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,micrometer-core,1.9.5,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10160 (severity: High). Risk is inherited through the dependency chain.
APP-001,HikariCP,5.0.1,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10161 (severity: High). Risk is inherited through the dependency chain.
APP-001,spring-tx,5.3.22,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10162 (severity: High). Risk is inherited through the dependency chain.
APP-001,aspectjweaver,1.9.9.1,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10163 (severity: High). Risk is inherited through the dependency chain.
APP-001,jettison,1.5.2,Risky,Vulnerability,High,Version 1.5.2 is affected by CVE-2023-1436 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,commons-io,2.11.0,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10164 (severity: High). Risk is inherited through the dependency chain.
APP-001,spring-boot-starter-validation,2.7.5,Risky,Vulnerability,High,Version 2.7.5 is affected by CVE-2025-10185 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,hibernate-validator,6.2.5,Risky,Transitive,High,Transitive dependency affected by CVE-2025-10165 (severity: High). Risk is inherited through the dependency chain.
APP-001,xstream,1.4.19,Risky,Unmaintained,Low,Library xstream has not received updates in over 2 years (last updated: 2022-12-28). May contain unpatched security issues.
APP-001,joda-time,2.10.14,Risky,Unmaintained,Low,Library joda-time has not received updates in over 2 years (last updated: 2023-12-15). May contain unpatched security issues.
APP-001,log4j-smtp,1.2.17,Risky,License,Medium,Unknown license cannot be used in commercial proprietary software.
APP-001,commons-validator,1.7.0,Risky,Unmaintained,Low,Library commons-validator has not received updates in over 2 years (last updated: 2022-09-01). May contain unpatched security issues.
APP-001,opencsv,5.7.1,Risky,Vulnerability,High,Version 5.7.1 is affected by CVE-2025-10186 (CVSS severity: High). Upgrade to the latest version to remediate.
APP-001,stripe-java,22.28.0,Risky,Vulnerability,High,Version 22.28.0 is affected by CVE-2025-10187 (CVSS severity: High). Upgrade to the latest version to remediate.
